Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20210721,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,819,"",164085,"",16 years and over
20210721,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,782,"",20957,"",16 years and over
20210721,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,1538,"",1697794,"",16 years and over
20210721,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,7629,"",1053418,"",16 years and over
20210721,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,294,"",2130610,"",16 years and over
20210721,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,8841,"",1958191,"",16 years and over
20210721,S92000003,Total,4549217,Dose 1,2651,"",3992489,"",16 years and over
20210721,S92000003,Total,4439078,Dose 1,2509,0.0565207459747272,3981356,89.6888047472921,18 years and over
20210721,S92000003,Total,2875396,Dose 1,445,0.0154761292009866,2814051,97.8665547284618,40 years and over
20210721,S92000003,Total,4549217,Dose 2,17252,"",3032566,"",16 years and over
20210721,S92000003,Total,4439078,Dose 2,17180,0.387017304043768,3025256,68.150548379641,18 years and over
20210721,S92000003,Total,2875396,Dose 2,9787,0.340370508966417,2617709,91.038208302439,40 years and over
20210722,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,608,"",164693,"",16 years and over
20210722,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,775,"",21732,"",16 years and over
20210722,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,1316,"",1699110,"",16 years and over
20210722,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,6832,"",1060250,"",16 years and over
20210722,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,264,"",2130874,"",16 years and over
20210722,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,8634,"",1966825,"",16 years and over
20210722,S92000003,Total,4549217,Dose 1,2188,"",3994677,"",16 years and over
20210722,S92000003,Total,4439078,Dose 1,2088,0.0470367945776127,3983444,89.7358415418697,18 years and over
20210722,S92000003,Total,2875396,Dose 1,376,0.0130764597293729,2814427,97.8796311881911,40 years and over
20210722,S92000003,Total,4549217,Dose 2,16241,"",3048807,"",16 years and over
20210722,S92000003,Total,4439078,Dose 2,16202,0.364985701985863,3041458,68.5155340816269,18 years and over
20210722,S92000003,Total,2875396,Dose 2,9271,0.322425154656959,2626980,91.360633457096,40 years and over
20210723,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,713,"",165406,"",16 years and over
20210723,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,350,"",22082,"",16 years and over
20210723,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,1430,"",1700540,"",16 years and over
20210723,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,8587,"",1068837,"",16 years and over
20210723,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,268,"",2131142,"",16 years and over
20210723,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,9936,"",1976761,"",16 years and over
20210723,S92000003,Total,4549217,Dose 1,2411,"",3997088,"",16 years and over
20210723,S92000003,Total,4439078,Dose 1,2266,0.0510466362609533,3985710,89.7868881781307,18 years and over
20210723,S92000003,Total,2875396,Dose 1,428,0.0148849062876905,2814855,97.8945160944788,40 years and over
20210723,S92000003,Total,4549217,Dose 2,18873,"",3067680,"",16 years and over
20210723,S92000003,Total,4439078,Dose 2,18829,0.424164657615838,3060287,68.9396987392427,18 years and over
20210723,S92000003,Total,2875396,Dose 2,10902,0.379147776514957,2637882,91.739781233611,40 years and over
20210724,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,453,"",165859,"",16 years and over
20210724,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,237,"",22319,"",16 years and over
20210724,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,1335,"",1701875,"",16 years and over
20210724,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,7456,"",1076293,"",16 years and over
20210724,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,215,"",2131357,"",16 years and over
20210724,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,6906,"",1983667,"",16 years and over
20210724,S92000003,Total,4549217,Dose 1,2003,"",3999091,"",16 years and over
20210724,S92000003,Total,4439078,Dose 1,1878,0.0423060824792896,3987588,89.82919426061,18 years and over
20210724,S92000003,Total,2875396,Dose 1,280,0.00973778916017133,2815135,97.904253883639,40 years and over
20210724,S92000003,Total,4549217,Dose 2,14599,"",3082279,"",16 years and over
20210724,S92000003,Total,4439078,Dose 2,14564,0.328086147618943,3074851,69.2677848868616,18 years and over
20210724,S92000003,Total,2875396,Dose 2,8004,0.278361658707183,2645886,92.0181428923181,40 years and over
20210725,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,489,"",166348,"",16 years and over
20210725,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,224,"",22543,"",16 years and over
20210725,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,855,"",1702730,"",16 years and over
20210725,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 2,6408,"",1082701,"",16 years and over
20210725,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 1,152,"",2131509,"",16 years and over
20210725,S92000003,Covid-19 Vaccine AstraZeneca,4549217,Dose 2,5982,"",1989649,"",16 years and over
20210725,S92000003,Total,4549217,Dose 1,1496,"",4000587,"",16 years and over
20210725,S92000003,Total,4439078,Dose 1,1390,0.0313128086508054,3988978,89.8605070692608,18 years and over
20210725,S92000003,Total,2875396,Dose 1,228,0.0079293426018538,2815363,97.9121832262408,40 years and over
20210725,S92000003,Total,4549217,Dose 2,12614,"",3094893,"",16 years and over
20210725,S92000003,Total,4439078,Dose 2,12577,0.283324600288618,3087428,69.5511094871503,18 years and over
20210725,S92000003,Total,2875396,Dose 2,6423,0.223377927770644,2652309,92.2415208200888,40 years and over
20210726,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 1,803,"",167151,"",16 years and over
20210726,S92000003,Covid-19 mRNA Vaccine Moderna,4549217,Dose 2,2007,"",24550,"",16 years and over
20210726,S92000003,Covid-19 mRNA Vaccine Pfizer,4549217,Dose 1,1009,"",1703739,"",16 years and over
